"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","5 Five thousand notes for Item and verify notes count on search","","Thu May 15 21:17:40 UTC 2025","skipped","Thu May 15 21:17:40 UTC 2025","","Import Notes","",""
"","535","2.1 Cancelling warning keeps user logged in on other machine","Login page","Thu May 15 21:17:00 UTC 2025","failed","Thu May 15 21:17:00 UTC 2025","","2. Warning that user is logged in on other browser or device","",""
"","2","1 Import Legacy Chain of Custody - Checked In transaction","","Thu May 15 21:16:56 UTC 2025","broken","Thu May 15 21:16:56 UTC 2025","","Import Legacy Chain of Custody","",""
"","21247","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again","Add Person","Thu May 15 21:44:42 UTC 2025","passed","Thu May 15 21:45:03 UTC 2025","","1. Org Admin","",""
"","3","A.U_3. Add External User","Add User","Thu May 15 21:52:35 UTC 2025","skipped","Thu May 15 21:52:35 UTC 2025","","1.1 Org Admin","",""
"","1","1.4 Org Admin-- minimum case fields -- redirect to Add Person page","Add Case","Thu May 15 21:17:13 UTC 2025","skipped","Thu May 15 21:17:13 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","44450","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Thu May 15 21:24:24 UTC 2025","passed","Thu May 15 21:25:08 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","1","2. Item with all fields - Disposed Status","","Thu May 15 21:16:48 UTC 2025","broken","Thu May 15 21:16:48 UTC 2025","","Import Items","",""
"","63152","A.N_1. Add Note to Case","","Thu May 15 21:42:46 UTC 2025","failed","Thu May 15 21:43:49 UTC 2025","","Add Notes","",""
"","104553","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Thu May 15 21:32:35 UTC 2025","failed","Thu May 15 21:34:19 UTC 2025","","Edit User","",""
"","0","I.C_5 Case Import - Precheck Only","","Thu May 15 21:16:30 UTC 2025","skipped","Thu May 15 21:16:30 UTC 2025","","Import Cases","",""
"","22586","2.1 verify Org Case Number Format and check that Case Review Date/Notes is NOT displayed for Org Admin","Add Case","Thu May 15 21:17:18 UTC 2025","passed","Thu May 15 21:17:41 UTC 2025","","2. --- with Case Number formatting in Org, AutoDispo OFF ","",""
"","1","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions","Add Case","Thu May 15 21:17:13 UTC 2025","skipped","Thu May 15 21:17:13 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","90630","3.1 --- with required Custom Form filled out, all required fields on Form","Add Item","Thu May 15 21:32:39 UTC 2025","failed","Thu May 15 21:34:09 UTC 2025","","3 Add Item with Custom Form","",""
"","839","3. Import Person with all fields - Precheck Only","","Thu May 15 21:17:53 UTC 2025","failed","Thu May 15 21:17:53 UTC 2025","","Import People","",""
